Date,Name,Nationality,Cause of death
9/26/1975,Mick Burke,United Kingdom,Disappearance (likely accidental death during climb)
8/1/1975,Unknown ; deaf-mute Sherpa porter,Nepal,Drowned
5/4/1975,Wu Zhuong Yue [note 4],China,"Exhaustion, fall"
9/9/1974,Sanu Wongal,Nepal,Avalanche
9/9/1974,Nima Wangchu,Nepal,Avalanche
9/9/1974,Nawang Lutuk,Nepal,Avalanche
9/9/1974,Lhakpa,Nepal,Avalanche
9/9/1974,Pemba Dorje,Nepal,Avalanche
9/9/1974,Gérard Devouassoux,France,Avalanche
10/12/1973,Jangbu,Nepal,Avalanche
11/16/1972,Tony Tighe,Australia,Crushed under serac
4/18/1971,Harsh Vardhan,India,Succumbed after falling and being suspended above a crevasse during a blizzard
4/21/1970,Kiyoshi Narita,Japan,Heart attack
4/9/1970,Kyak Tsering,Nepal,"""by fall of seracs"""
4/5/1970,Kami Tshering,Nepal,Avalanche
4/5/1970,Pasang,Nepal,Avalanche
4/5/1970,Mima Norbu,Nepal,Avalanche
4/5/1970,Kunga Norbu,Nepal,Avalanche
4/5/1970,Nima Dorje,Nepal,Avalanche
10/18/1969,Phu Dorjee Sherpa,Nepal,Fall into a crevasse
5/1/1966,Ma Gao-shu,China,Fall
3/23/1963,Jake Breitenbach,United States,Crushed under serac
4/28/1962,Nawang Tshering,Nepal,Unknown
4/29/1960,Shao Shi-Ching [note 3],China,Unknown
4/11/1960,Wang Ji,China,Mountain sickness
10/31/1952,Dorje Mingma,Nepal,Falling ice
5/31/1934,Maurice Wilson,United Kingdom,"Possible exhaustion, exposure or starvation. Body found 1935"
6/9/1924,George Mallory,United Kingdom,Possible ice axe injury following a fall. Body found in 1999
6/9/1924,Andrew Irvine,United Kingdom,Unknown. Body never found
5/17/1924,Lance-Naik Shamsherpun,Nepal,Brain hemorrhage
5/13/1924,Man Bahadur,Nepal,Pneumonia
6/7/1922,Temba,Nepal,Avalanche
6/7/1922,Sange,Nepal,Avalanche
6/7/1922,Pema,Nepal,Avalanche
6/7/1922,Pasang,Nepal,Avalanche
6/7/1922,Norbu,Nepal,Avalanche
6/7/1922,Lhakpa,Nepal,Avalanche
6/7/1922,Dorje,Nepal,Avalanche
